school.id,school.name,school.enrollment,school.offering, school.mooe 
305101,Suyo National High School,510,Secondary," 510,000.00 "
135146,Suyo Pilot ES,365,Elementary," 229,000.00 "
135149,Bolbolo ES,147,Elementary," 119,000.00 "
305077,Bolbolo NHS,67,Secondary," 186,000.00 "
135152,Dalit ES,225,Elementary," 150,000.00 "
305083,Dalit National High School,342,Secondary," 407,000.00 "
135153,Dintan ES,105,Elementary," 111,000.00 "
135154,Gapang ES,128,Elementary," 117,000.00 "
135155,Kinabiti ES,110,Elementary," 113,000.00 "
135158,Maliplipit PS,79,Elementary," 76,000.00 "
135159,Nagcanasan PS,22,Elementary," 60,000.00 "
135160,Ocup PS,71,Elementary," 80,000.00 "
135161,Pang-ot ES,122,Elementary," 114,000.00 "
135162,Patad PS,32,Elementary," 60,000.00 "
135163,Pilar CS,315,Elementary," 230,000.00 "
305093,Pilar Rural High School,380,Secondary," 510,000.00 "
135164,San Juan ES,192,Elementary," 136,000.00 "
218516,South Balioag PS,44,Elementary," 57,000.00 "
135168,Abas ES,124,Elementary," 119,000.00 "
305074,Abas NHS,130,Secondary," 223,000.00 "
135170,Bantay PS,27,Elementary," 56,000.00 "
135172,Bazar ES,30,Elementary," 74,000.00 "
135173,Bilabila ES,89,Elementary," 107,000.00 "
135177,Callaban PS,13,Elementary," 56,000.00 "
135184,Gangal ES,103,Elementary," 106,000.00 "
135186,Lam-aoan PS,17,Elementary," 59,000.00 "
135189,Maguyepyep ES,147,Elementary," 120,000.00 "
135190,Naguilian ES,103,Elementary," 109,000.00 "
135191,Nangas-Asan PS,12,Elementary," 59,000.00 "
135193,Sallapadan Bo. ES,47,Elementary," 74,000.00 "
135194,Sallapadan CS,134,Elementary," 141,000.00 "
135195,Ud-udiao ES,59,Elementary," 82,000.00 "
135119,Dalimag ES,168,Elementary," 130,000.00 "
135123,Manayday ES,114,Elementary," 108,000.00 "
135124,Maoay PS,14,Elementary," 52,000.00 "
135126,Olo ES,45,Elementary," 70,000.00 "
135128,San Isidro CS,267,Elementary," 187,000.00 "
305097,San Isidro NHS,317,Secondary," 361,000.00 "
135129,San Marcial ES,94,Elementary," 110,000.00 "
135131,Turod ES,78,Elementary," 87,000.00 "
135197,Alimosgan ES,182,Elementary," 126,000.00 "
135201,Baug PS,105,Elementary," 86,000.00 "
135204,Cabcaburao ES,156,Elementary," 124,000.00 "
135207,Colabaoan PS,31,Elementary," 57,000.00 "
135209,Daoidao ES,167,Elementary," 122,000.00 "
135213,Lam-Ag ES,318,Elementary," 205,000.00 "
135218,Nangobongan PS,57,Elementary," 63,000.00 "
305091,Northern Abra NHS,658,Secondary," 725,000.00 "
135221,Quidaoen ES,138,Elementary," 123,000.00 "
305095,Quidaoen NHS,157,Secondary," 227,000.00 "
135223,San Juan CS,277,Elementary," 210,000.00 "
135224,Silet ES,109,Elementary," 98,000.00 "
135225,Supiil ES,176,Elementary," 120,000.00 "
135140,Palang PS,31,Elementary," 64,000.00 "
218511,Pantoc ES,77,Elementary," 79,000.00 "
218513,Presentar PS,35,Elementary," 56,000.00 "
135144,San Quintin CS,255,Elementary," 206,000.00 "
305099,San Quintin NHS,293,Secondary," 392,000.00 "
135147,Tangadan ES,143,Elementary," 131,000.00 "
135148,Villa Mercedes ES,174,Elementary," 141,000.00 "
135011,An-anaao ES,287,Elementary," 189,000.00 "
135012,Bagalay ES,145,Elementary," 126,000.00 "
135013,Basbasa ES,180,Elementary," 131,000.00 "
135014,Bumagcat ES,147,Elementary," 121,000.00 "
135018,Don Marcos Rosales ES,355,Elementary," 199,000.00 "
305086,Gaddani NHS,643,Secondary," 616,000.00 "
135024,Tayum CS,734,Elementary," 372,000.00 "
135025,Velasco ES,255,Elementary," 156,000.00 "
135196,Alawa ES,13,Elementary," 52,000.00 "
135198,Anayan ES,108,Elementary," 92,000.00 "
135199,Apao PS,45,Elementary," 66,000.00 "
135203,Belaat PS,16,Elementary," 60,000.00 "
135205,Caganayan ES,181,Elementary," 124,000.00 "
305079,Caganayan NHS,117,Secondary," 209,000.00 "
135206,Cogon PS,113,Elementary," 100,000.00 "
135211,Laba PS,30,Elementary," 63,000.00 "
135215,Magsalang PS,61,Elementary," 61,000.00 "
135216,Makingag PS,19,Elementary," 64,000.00 "
135217,Naglibacan ES,116,Elementary," 100,000.00 "
135222,Sabangan ES,68,Elementary," 73,000.00 "
135226,Tapayen PS,58,Elementary," 74,000.00 "
135227,Tineg CS,168,Elementary," 135,000.00 "
305104,Tineg NHS,200,Secondary," 260,000.00 "
135087,Alangtin ES,66,Elementary," 84,000.00 "
135089,Amtuagan ES,68,Elementary," 89,000.00 "
135093,Batayan PS,41,Elementary," 64,000.00 "
135095,Caocaoayan PS,17,Elementary," 50,000.00 "
135096,Dacuag PS,19,Elementary," 54,000.00 "
135097,Dilong ES,91,Elementary," 123,000.00 "
305084,Dilong NHS,105,Secondary," 212,000.00 "
135100,Kili ES,66,Elementary," 95,000.00 "
135101,Likowan PS,10,Elementary," 57,000.00 "
135107,Pananuman PS,8,Elementary," 49,000.00 "
135110,Supo ES,71,Elementary," 111,000.00 "
305100,Supo NHS,142,Secondary," 223,000.00 "
135111,Tabacda PS,21,Elementary," 52,000.00 "
135113,Tiempo ES,96,Elementary," 119,000.00 "
305103,Tiempo NHS,167,Secondary," 231,000.00 "
135115,Tubo CS,84,Elementary," 122,000.00 "
135116,Tubtuba ES,51,Elementary," 86,000.00 "
135118,Wayangan ES,72,Elementary," 93,000.00 "
135150,Bol-lilising ES,66,Elementary," 80,000.00 "
135151,Cal-lao ES,101,Elementary," 96,000.00 "
135156,Lagaosian ES,75,Elementary," 80,000.00 "
135157,Lumaba ES,157,Elementary," 121,000.00 "
135165,Tamac ES,109,Elementary," 101,000.00 "
135166,Tuquib ES,142,Elementary," 110,000.00 "
135167,Villaviciosa CS,282,Elementary," 175,000.00 "
305106,Apayao National Industrial Agricultural High School,388,Secondary," 563,000.00 "
135228,Assat PS,70,Elementary," 56,000.00 "
135229,Ayayao PS,9,Elementary," 51,000.00 "
219021,Bucarot PS,10,Elementary," 53,000.00 "
135230,Butao ES,137,Elementary," 113,000.00 "
135231,Cadaclan ES,105,Elementary," 103,000.00 "
305110,Calanasan NHS,175,Secondary," 274,000.00 "
135232,Don Roque PS,20,Elementary," 53,000.00 "
135233,Ferdinand PS,42,Elementary," 65,000.00 "
135234,Kabugawan PS,39,Elementary," 56,000.00 "
135235,Langnao Elementary School,80,Elementary," 68,000.00 "
135236,Macalino PS,29,Elementary," 58,000.00 "
135238,Malitao PS,16,Elementary," 51,000.00 "
135239,Milagrosa ES,141,Elementary," 126,000.00 "
135240,Naguilian Norte PS,17,Elementary," 50,000.00 "
135241,Naguilian Sur PS,26,Elementary," 62,000.00 "
135242,Namaltugan ES,188,Elementary," 130,000.00 "
135243,Ninoy Aquino Elementary School,104,Elementary," 98,000.00 "
135244,Parina PS,30,Elementary," 55,000.00 "
135245,Pedro Bunot CS,378,Elementary," 258,000.00 "
318804,Pio Da Lim Memorial SAT Tanglagan,185,Secondary," 260,000.00 "
305122,Pio Dalim Memorial SAT Main,107,Secondary," 337,000.00 "
318811,PIO DALIM Memorial SAT-Sta.Filomena,112,Secondary," 144,000.00 "
135246,Sabangan PS,31,Elementary," 53,000.00 "
135247,Salongsong PS,14,Elementary," 53,000.00 "
135248,Soda PS,32,Elementary," 58,000.00 "
219005,Sta. Elena PS,30,Elementary," 65,000.00 "
135249,Sta. Filomena ES,155,Elementary," 127,000.00 "
135250,Tanglagan ES,270,Elementary," 162,000.00 "
135251,Tubongan ES,98,Elementary," 95,000.00 "
318803,Conner Central NHS Cupis Annex,173,Secondary," 204,000.00 "
318807,Conner Central NHS Guina-ang Annex III,107,Secondary," 144,000.00 "
305111,Conner Central NHS Main,465,Secondary," 720,000.00 "
318802,Conner Central NHS Talifugo Annex,248,Secondary," 329,000.00 "
305112,Conner Natl. HS,372,Secondary," 418,000.00 "
219016,Bubog PS,10,Elementary," 58,000.00 "
135263,Buguit PS,30,Elementary," 60,000.00 "
135256,Buneg Elementary School,64,Elementary," 72,000.00 "
135257,Caglayan ES,286,Elementary," 157,000.00 "
135274,Catub PS,75,Elementary," 65,000.00 "
318812,Conner Central NHS Ili Annex,214,Secondary," 178,000.00 "
135259,Conner CS,429,Elementary," 237,000.00 "
219025,Cubet PS,128,Elementary," 79,000.00 "
135260,Cupis PS,26,Elementary," 54,000.00 "
135262,Guina-ang ES,256,Elementary," 149,000.00 "
135264,Guinamgamman ES,137,Elementary," 92,000.00 "
135265,Ili ES,284,Elementary," 160,000.00 "
219007,Liwan Elementary School,30,Elementary," 61,000.00 "
135269,Lower Katablangan ES,82,Elementary," 80,000.00 "
219018,Mabaguio PS,47,Elementary," 59,000.00 "
135270,Manag ES,213,Elementary," 147,000.00 "
135272,Nabuangan PS,55,Elementary," 67,000.00 "
135273,Paddaoan ES,190,Elementary," 136,000.00 "
135275,Paddig ES,189,Elementary," 123,000.00 "
135277,Ripang ES,118,Elementary," 118,000.00 "
135280,Talifugo ES,215,Elementary," 130,000.00 "
219017,Upper Katablangan ES,81,Elementary," 87,000.00 "
135252,Allangigan ES,92,Elementary," 96,000.00 "
219006,Apaya PS,19,Elementary," 51,000.00 "
135253,Banban ES,165,Elementary," 107,000.00 "
135258,Calafug ES,148,Elementary," 106,000.00 "
135261,Daga ES,258,Elementary," 163,000.00 "
135268,Dangguinan ES,79,Elementary," 83,000.00 "
135267,Gassud ES,107,Elementary," 83,000.00 "
318813,"Gov. Benjamin Laguiab, Sr. MNHS Sacpil Annex",73,Secondary," 144,000.00 "
305114,"Gov. Benjamin Leguiab, Sr. Mem. NHS Main",192,Secondary," 270,000.00 "
135255,Guedeged PS,33,Elementary," 59,000.00 "
135266,Karikitan ES,174,Elementary," 151,000.00 "
219020,Mabiga Elementary School,64,Elementary," 67,000.00 "
135271,Mawigue ES,88,Elementary," 86,000.00 "
135276,Puguin ES,95,Elementary," 92,000.00 "
135279,Sacpil ES,290,Elementary," 154,000.00 "
135254,Southern Conner CS,283,Elementary," 180,000.00 "
220027,Turayok PS,16,Elementary," 47,000.00 "
135282,Allig ES,273,Elementary," 148,000.00 "
318808,Allig National Agricultural and Trade HS,90,Secondary," 211,000.00 "
135283,Aninipan ES,157,Elementary," 137,000.00 "
135285,Atok ES,112,Elementary," 103,000.00 "
135286,Bagutong ES,188,Elementary," 133,000.00 "
135287,Balasi Elementary School,56,Elementary," 66,000.00 "
135288,Balluyan ES,192,Elementary," 136,000.00 "
135289,Flora CS,650,Elementary," 365,000.00 "
135290,Flora East CS,177,Elementary," 131,000.00 "
305113,FLORA NATIONAL HIGH SCHOOL,565,Secondary," 564,000.00 "
219024,Greenhills ES,41,Elementary," 76,000.00 "
135293,Malayugan ES,198,Elementary," 121,000.00 "
135294,Mallig ES,84,Elementary," 77,000.00 "
135295,MALUBIBIT NORTE ES,168,Elementary," 123,000.00 "
219015,Malubibit Sur ES,85,Elementary," 73,000.00 "
305121,"Mayor Ricardo de San Jose, Sr. Comp. HS",353,Secondary," 368,000.00 "
135284,San Jose ES,143,Elementary," 98,000.00 "
135292,Sta. Maria ES,178,Elementary," 135,000.00 "
219010,Tamalunog Elementary School,129,Elementary," 118,000.00 "
135296,Upper Atok PS,30,Elementary," 54,000.00 "
135306,Apadi ES,35,Elementary," 66,000.00 "
135297,Badduat ES,150,Elementary," 123,000.00 "
135298,Baliwanan ES,130,Elementary," 104,000.00 "
135314,Banan Elementary School,74,Elementary," 81,000.00 "
135299,Binuan ES,128,Elementary," 114,000.00 "
135301,Bulu ES,32,Elementary," 71,000.00 "
135302,Cabetayan ES,138,Elementary," 123,000.00 "
219008,Culilimtao PS,18,Elementary," 58,000.00 "
135303,Dagara ES,131,Elementary," 104,000.00 "
135304,Dangla ES,43,Elementary," 71,000.00 "
135305,Dibagat ES,76,Elementary," 93,000.00 "
135315,Guimitan PS,44,Elementary," 62,000.00 "
220023,Iyapan PS,24,Elementary," 46,000.00 "
318806,Kabugao Agro-Ind'l. HS - Lenneng Annex,228,Secondary," 234,000.00 "
305115,Kabugao Agro-Ind'l. HS Main,180,Secondary," 347,000.00 "
135307,Kabugao CS,370,Elementary," 263,000.00 "
135308,Kadikitan ES,69,Elementary," 88,000.00 "
220024,Kagawadan PS,34,Elementary," 45,000.00 "
135316,Kalliat Elementary School,146,Elementary," 111,000.00 "
135309,Karagawan ES,57,Elementary," 81,000.00 "
135310,Kumao ES,90,Elementary," 97,000.00 "
135312,Laco ES,78,Elementary," 94,000.00 "
135313,Lenneng ES,183,Elementary," 141,000.00 "
135318,Lucab ES,63,Elementary," 90,000.00 "
135319,Madatag ES,175,Elementary," 130,000.00 "
135320,Madduang ES,109,Elementary," 97,000.00 "
135321,Magabta ES,34,Elementary," 73,000.00 "
135322,Malabanig ES,90,Elementary," 92,000.00 "
135300,Mallag PS,24,Elementary," 53,000.00 "
135323,Maragat ES,96,Elementary," 100,000.00 "
319010,Mayor Bartolome Serut NATHS Annex,59,Secondary," 144,000.00 "
305119,Mayor Bartolome Serut NATHS-Main,200,Secondary," 329,000.00 "
135324,Musimut ES,105,Elementary," 113,000.00 "
135325,Nagbabalayan ES,91,Elementary," 89,000.00 "
220025,Paco Valley PS,22,Elementary," 43,000.00 "
135326,Tabba ES,66,Elementary," 84,000.00 "
135317,Taracay PS,69,Elementary," 77,000.00 "
135327,Tuyangan ES,80,Elementary," 82,000.00 "
135328,Waga ES,44,Elementary," 81,000.00 "
305107,Apayao Science HS,198,Secondary," 336,000.00 "
305108,BAC-DA National High School,346,Secondary," 387,000.00 "
135329,Bacsay ES,154,Elementary," 142,000.00 "
220026,Bayugao PS,41,Elementary," 49,000.00 "
135330,Cagandungan East PS,60,Elementary," 62,000.00 "
135331,Cagandungan West PS,23,Elementary," 60,000.00 "
135332,Calabigan PS,16,Elementary," 51,000.00 "
219029,Calayucay PS,36,Elementary," 52,000.00 "
135333,Capagaypayan PS,12,Elementary," 53,000.00 "
135334,Catammoyoan ES,63,Elementary," 74,000.00 "
135335,Dagupan ES,190,Elementary," 144,000.00 "
135336,Luna CS,647,Elementary," 302,000.00 "
305116,Luna National High School Main,414,Secondary," 479,000.00 "
318801,Luna NHS - Tumog Annex,265,Secondary," 263,000.00 "
219004,Luyon PS,38,Elementary," 55,000.00 "
135337,Marag ES,210,Elementary," 140,000.00 "
305117,Marag Valley Agr'l. and Trade HS,114,Secondary," 198,000.00 "
135338,Palungkada ES,257,Elementary," 148,000.00 "
135339,Quirino ES,217,Elementary," 137,000.00 "
135340,Salvacion ES,79,Elementary," 78,000.00 "
135341,San Francisco ES,142,Elementary," 131,000.00 "
318809,San Francisco National Agricultural and Trade HS,115,Secondary," 144,000.00 "
135342,San Gregorio PS,60,Elementary," 68,000.00 "
135343,San Isidro ES,171,Elementary," 160,000.00 "
135344,San Isidro Norte ES,125,Elementary," 92,000.00 "
135345,San Jose PS,50,Elementary," 67,000.00 "
135346,Shalom PS,53,Elementary," 72,000.00 "
135347,Sta. Lina ES,177,Elementary," 130,000.00 "
135348,Tumog ES,327,Elementary," 192,000.00 "
319009,Mataguisi Comprehensive NHS Cacalaggan Annex,65,Secondary," 144,000.00 "
219012,Aga PS,41,Elementary," 72,000.00 "
135349,Alem ES,271,Elementary," 154,000.00 "
219023,Aurora PS,83,Elementary," 61,000.00 "
135350,Cabatacan ES,224,Elementary," 161,000.00 "
135351,Cacalaggan Elementary School,112,Elementary," 98,000.00 "
135352,Capannikian ES,283,Elementary," 162,000.00 "
135353,Dona Loreta ES,139,Elementary," 126,000.00 "
135354,Lower Maton Elementary School,69,Elementary," 81,000.00 "
219026,Lt. Balag PS,9,Elementary," 55,000.00 "
219009,Lydia PS,42,Elementary," 54,000.00 "
135355,Malibang ES,124,Elementary," 107,000.00 "
305118,Mataguisi Comp. HS Main,202,Secondary," 326,000.00 "
135356,Mataguisi ES,310,Elementary," 170,000.00 "
135357,Pudtol CS,492,Elementary," 312,000.00 "
305123,Pudtol NHS,448,Secondary," 494,000.00 "
219013,San Jose ES,57,Elementary," 66,000.00 "
219014,San Mariano PS,50,Elementary," 57,000.00 "
135359,Swan ES,164,Elementary," 137,000.00 "
318810,Swan National Agricultural and Trade HS,170,Secondary," 150,000.00 "
135360,Upper Maton PS,64,Elementary," 62,000.00 "
219027,Upper Swan PS,107,Elementary," 88,000.00 "
135361,Barocboc ES,264,Elementary," 154,000.00 "
135362,Consuelo Elementary School,122,Elementary," 106,000.00 "
135363,Emiliana ES,110,Elementary," 90,000.00 "
135364,Imelda ES,152,Elementary," 114,000.00 "
135365,Malekkeg ES,182,Elementary," 133,000.00 "
305120,Mayor Guillermo Barsalan SAT,193,Secondary," 271,000.00 "
219002,Nueva PS,29,Elementary," 56,000.00 "
