school.id,teachers.instructor,teachers.mobile,teachers.regular,teachers.sped
100267,0,1,13,0
100268,0,1,12,0
100269,0,1,11,0
100270,0,0,4,0
100271,0,2,14,0
100272,0,3,16,0
100273,0,2,11,0
100274,0,1,11,0
100275,0,1,6,0
100276,0,1,8,0
100277,0,1,6,0
100278,0,1,6,0
100279,0,0,5,0
100280,0,1,11,0
100281,0,2,5,0
100282,0,0,6,0
100283,0,0,4,0
100284,0,1,7,0
100285,0,3,20,0
100286,0,0,7,0
100287,0,0,7,0
100288,0,1,2,0
100289,0,0,3,0
100291,0,0,3,0
100292,0,0,2,0
100293,0,0,3,0
100294,0,0,3,0
100295,0,0,6,0
100296,0,0,3,0
100297,0,1,5,0
100298,0,0,3,0
100299,0,1,1,0
100300,0,0,2,0
100301,0,1,6,0
100302,0,2,6,0
100303,0,0,2,0
100304,0,1,5,0
100305,0,4,12,0
100306,0,1,6,0
100307,0,1,6,0
100308,0,0,6,0
100309,0,0,3,0
100310,0,0,8,0
100311,0,0,4,0
100312,0,6,12,0
100313,0,0,6,0
100314,0,0,3,0
100315,0,1,8,0
100316,0,0,4,0
100317,0,0,3,0
100318,0,0,5,0
100319,0,2,6,0
100320,0,0,3,0
100321,0,1,5,0
100322,0,0,3,0
100323,0,0,2,0
100324,0,0,3,0
100325,0,0,1,0
100326,0,3,11,0
100327,0,0,6,0
100328,0,2,5,0
100329,0,0,4,0
100330,0,0,4,0
100331,0,0,3,0
100332,0,0,6,0
100333,0,0,2,0
100334,0,0,3,0
100335,0,0,4,0
100336,0,0,5,0
100337,0,0,4,0
100338,0,0,2,0
100339,0,0,2,0
100340,0,0,2,0
100341,0,0,3,0
100342,0,0,2,0
100343,0,0,6,0
100344,0,2,7,0
100345,0,0,2,0
100346,0,4,13,0
100347,0,1,6,0
100348,0,0,7,0
100349,0,0,3,0
100350,0,0,3,0
100351,0,0,2,0
100352,0,1,6,0
100353,0,1,6,0
100354,0,0,7,0
100355,0,0,2,0
100356,0,1,6,0
100357,0,1,7,0
100358,0,0,3,0
100359,0,0,3,0
100360,0,0,7,0
100361,0,1,7,0
100362,0,0,9,0
100364,0,0,7,0
100365,0,0,7,0
100366,0,1,4,0
100367,0,0,3,0
100368,0,2,7,0
100369,0,0,4,0
100370,0,2,15,0
100371,0,2,14,1
100372,0,2,12,0
100373,0,1,7,0
100374,0,0,6,0
100375,0,1,7,0
100376,0,0,6,0
100377,0,1,6,0
100378,0,1,6,0
100379,0,0,8,0
100380,0,2,14,0
100381,0,0,6,0
100382,0,1,6,0
100383,0,1,6,0
100384,0,1,6,0
100385,0,2,16,0
100386,0,2,10,0
100387,0,0,8,0
100388,0,1,6,0
100389,0,1,15,0
100390,0,0,7,0
100391,0,0,2,0
100392,0,1,11,0
100393,0,1,7,0
100394,0,0,2,0
100395,0,1,6,0
100396,0,2,5,0
100397,0,1,12,0
100398,0,1,12,0
100399,0,0,5,0
100400,0,1,5,0
100401,0,0,7,0
100402,0,5,19,0
100403,0,4,13,0
100404,0,0,5,0
100405,0,0,2,0
100406,0,0,1,0
100407,0,0,5,0
100408,0,1,5,0
100409,0,1,8,1
100410,0,0,4,0
100411,0,1,5,0
100412,0,0,4,0
100413,0,0,2,0
100414,0,1,5,0
100415,0,0,8,0
100416,0,1,5,0
100417,0,1,5,0
100418,0,0,6,0
100419,0,1,6,0
100420,0,1,3,0
100421,0,0,7,0
100422,0,0,7,0
100423,0,0,6,0
100424,0,2,9,0
100425,0,1,6,0
100426,0,0,3,0
100427,0,0,7,0
100428,0,1,7,0
100429,0,0,2,0
100430,0,1,7,0
100431,0,0,7,0
100432,0,1,5,0
100433,0,0,5,0
100434,0,1,13,0
100435,0,5,13,0
100436,0,6,22,0
100437,0,1,12,0
100439,0,1,5,0
100440,0,1,11,0
100441,0,1,6,0
100442,0,0,5,0
100443,0,0,5,0
100444,0,0,8,0
100445,0,1,10,0
100446,0,0,12,0
100447,0,0,6,0
100448,0,1,5,0
100449,0,1,11,0
100450,0,1,6,0
100451,0,1,8,0
100452,0,0,6,0
100453,0,1,11,0
100454,0,1,9,0
100455,0,1,8,0
100456,0,4,23,0
100457,0,1,16,0
100458,0,4,11,0
100459,0,1,15,0
100460,0,0,10,0
100461,0,0,10,0
100462,0,0,6,0
100463,0,0,2,0
100464,0,0,0,0
100465,0,0,1,0
100466,0,0,4,0
100467,0,0,2,0
100468,0,0,1,0
100469,0,7,11,0
100470,0,1,6,0
100471,0,0,9,0
100472,0,0,2,0
100473,0,0,6,0
100474,0,0,4,0
100475,0,0,2,0
100476,0,0,6,0
100477,0,0,1,0
100478,0,0,6,0
100479,0,0,2,0
100480,0,0,2,0
100481,0,1,5,0
100482,0,0,1,0
100483,0,1,6,0
100484,0,0,1,0
100485,0,0,6,0
100486,0,1,5,0
100487,0,0,1,0
100488,0,0,4,0
100489,0,2,6,0
100490,0,1,11,0
100491,0,0,1,0
100492,0,0,6,0
100493,0,0,3,0
100494,0,0,6,0
100495,0,0,3,0
100496,0,0,2,0
100497,0,1,7,0
100498,0,0,3,0
100499,0,1,5,0
100500,0,0,2,0
100501,0,8,14,0
100502,0,4,16,1
100503,0,1,9,0
100504,0,0,7,0
100505,0,0,7,0
100506,0,0,5,0
100507,0,1,7,0
100509,0,1,8,0
100510,0,2,7,0
100511,0,1,21,0
100512,0,0,2,0
100513,0,1,4,0
100514,0,0,2,0
100515,0,0,4,0
100516,0,0,4,0
100517,0,0,3,0
100518,0,1,4,0
100519,0,0,6,0
100520,0,0,2,0
100521,0,0,3,0
100522,0,0,2,0
100523,0,5,4,0
100524,0,0,5,0
100525,0,2,13,0
100526,0,0,7,0
100527,0,0,7,0
100528,0,4,9,0
100529,0,0,6,0
100530,0,0,2,0
100531,0,1,9,0
100532,0,1,5,0
100533,0,0,1,0
100534,0,0,8,0
100535,0,0,5,0
100536,0,1,6,0
100537,0,0,6,0
100538,0,1,6,0
100539,0,0,4,0
100540,0,0,1,0
100541,0,1,11,0
100542,0,1,7,0
100543,0,0,1,0
100544,0,5,13,3
100545,0,1,6,0
100546,0,1,5,0
100547,0,0,4,0
100548,0,1,9,0
100549,0,0,6,0
100550,0,2,11,0
100551,0,0,6,0
100552,0,0,4,0
100553,0,0,4,0
100554,0,1,3,0
100555,0,0,4,0
100556,0,1,6,0
100557,0,1,6,0
100558,0,0,2,0
100559,0,0,2,0
100560,0,1,6,0
100561,0,1,7,0
100562,0,0,7,0
100563,0,0,2,0
100564,0,0,1,0
100565,0,0,1,0
100566,0,0,3,0
100567,0,1,8,0
100568,0,0,2,0
100569,0,0,2,0
100570,0,1,8,0
100571,0,4,16,0
100572,0,0,1,0
100573,0,0,2,0
100574,0,0,1,0
100575,0,0,2,0
100576,0,0,2,0
100577,0,0,2,0
100578,0,0,2,0
100579,0,1,10,0
100580,0,1,6,0
100581,0,1,6,0
100582,0,2,20,0
100583,0,0,4,0
100584,0,0,1,0
100585,0,1,6,0
100586,0,1,6,0
100587,0,0,4,0
100588,0,0,1,0
100589,0,0,1,0
100590,0,1,7,0
100591,0,0,1,0
100592,0,2,7,0
100593,0,1,7,0
100594,0,0,6,0
100595,0,1,6,0
100596,0,0,6,0
100597,0,0,3,0
100598,0,0,6,0
100599,0,2,5,0
100600,0,1,6,0
100601,0,1,6,0
100602,0,0,7,0
100603,0,1,6,0
100604,0,0,8,0
100605,0,0,4,0
100606,0,0,6,0
100607,0,1,8,0
100608,0,4,15,1
100609,0,1,5,0
100610,0,0,6,0
100611,0,0,7,0
100612,0,0,7,0
100613,0,1,9,1
100614,0,0,8,0
100615,0,3,13,0
100616,0,1,19,1
100617,0,5,19,1
100618,0,2,12,0
100619,0,5,10,0
100620,0,0,7,0
100621,0,0,7,0
100622,0,0,2,0
100623,0,2,12,0
100624,0,0,5,0
100625,0,0,8,0
100626,0,0,10,0
100627,0,5,12,0
100628,0,0,6,0
100629,0,0,5,0
100630,0,0,3,0
100631,0,2,11,0
100632,0,0,4,0
100633,0,1,8,0
100634,0,1,6,0
100635,0,0,8,0
100636,0,0,3,0
100637,0,1,6,0
100638,0,3,11,0
100639,0,0,6,0
100640,0,0,2,0
100641,0,2,6,0
100642,0,0,5,0
100643,0,0,7,0
100644,0,0,1,0
100645,0,1,8,0
100646,0,0,11,0
100647,0,0,2,0
100648,0,0,2,0
100649,0,1,5,0
100650,0,2,5,0
100651,0,0,5,0
100652,0,2,7,0
100653,0,5,15,0
100654,0,1,7,0
100655,0,0,9,0
100656,0,0,6,0
100657,0,1,11,0
100658,0,2,13,0
100659,0,1,7,0
100660,0,1,6,0
100661,0,1,8,0
100662,0,1,10,0
100663,0,3,14,0
100664,0,0,7,0
100665,0,2,5,0
100666,0,0,2,0
100667,0,0,1,0
100668,0,1,6,0
100669,0,2,8,0
100670,0,1,6,0
100671,0,2,13,0
100672,0,0,2,0
100673,0,0,1,0
100674,0,1,5,0
100675,0,0,2,0
100676,0,0,5,0
100677,0,0,7,0
100678,0,1,5,0
100679,0,0,1,0
100680,0,1,13,0
100681,0,1,10,0
100682,0,0,12,0
100683,0,0,2,0
100684,0,9,20,0
100685,0,0,6,0
100686,0,1,6,0
100687,0,0,3,0
100688,0,0,2,0
100689,0,0,4,0
100690,0,0,5,0
100691,0,1,9,0
100692,0,1,6,0
100693,0,1,7,0
100694,0,1,8,0
100695,0,0,7,0
100696,0,0,4,0
100697,0,1,8,1
100698,0,3,22,0
100699,0,2,13,0
100700,0,0,9,0
100701,0,1,6,0
100702,0,0,6,0
100703,0,1,9,0
100704,0,0,5,0
100705,0,0,6,0
100706,0,0,6,0
100707,0,0,4,0
100708,0,0,8,0
100709,0,1,6,0
100710,0,1,7,0
100711,0,0,6,0
100712,0,0,7,0
100713,0,1,8,0
100714,0,4,11,0
100715,0,6,17,0
100716,0,2,10,0
100717,0,1,6,0
100718,0,2,5,0
100719,0,0,6,0
100720,0,1,6,0
100721,0,1,7,0
100722,0,0,2,0
100723,0,0,7,0
100724,0,0,2,0
100725,0,1,4,0
100726,0,2,9,0
100727,0,1,8,0
100728,0,0,6,0
100729,0,1,9,0
100730,0,0,6,0
100731,0,3,8,0
100732,0,0,6,0
100733,0,1,5,0
100734,0,0,6,0
100735,0,0,6,0
100736,0,1,6,0
100737,0,1,7,0
100738,0,2,7,0
100739,0,1,6,0
100740,0,4,12,0
100741,0,2,13,0
100742,0,0,2,0
100743,0,0,1,0
100744,0,0,5,0
100745,0,3,7,0
100746,0,0,6,0
100747,0,0,6,0
100748,0,3,4,0
100749,0,0,4,0
100750,0,0,3,0
100751,0,0,2,0
100752,0,0,2,0
100753,0,0,6,0
100754,0,0,3,0
100755,0,0,6,0
100756,0,0,7,0
100757,0,0,1,0
100758,0,0,7,0
100759,0,0,7,0
100760,0,1,10,0
100761,0,1,6,0
100762,0,1,6,0
100763,0,1,7,0
100764,0,1,6,0
100765,0,1,11,0
100766,0,1,10,0
100767,0,0,6,0
100768,0,1,4,0
100769,0,1,7,0
100770,0,0,1,0
100771,0,1,6,0
100772,0,1,13,0
100773,0,2,9,0
100774,0,0,4,0
100775,0,0,6,0
100776,0,0,9,0
100777,0,0,9,0
100778,0,0,2,0
100779,0,1,7,0
100780,0,3,18,0
100782,0,0,5,0
100783,0,1,8,0
100784,0,1,16,0
100785,0,3,13,0
100786,0,3,29,0
100787,0,2,8,0
100788,0,1,11,0
100789,0,1,7,0
100790,0,1,7,0
100791,0,1,8,0
100792,0,1,9,0
100793,0,2,20,0
100794,0,1,12,0
100795,0,1,7,0
100796,0,1,10,0
100797,0,1,9,0
100798,0,1,9,0
100799,0,1,7,0
100800,0,6,31,3
100801,0,6,28,0
100802,0,0,8,0
100803,0,0,13,0
100804,0,0,7,0
100805,0,1,13,0
100806,0,1,10,0
100807,0,0,15,0
100808,0,2,12,0
100809,0,5,20,0
100810,0,1,11,0
100811,0,0,7,0
100812,0,3,14,0
100813,0,0,9,0
100814,0,1,14,0
100815,0,0,7,0
100816,0,2,16,0
100817,0,1,7,0
100818,0,2,10,0
100819,0,10,33,3
100820,0,0,3,0
100821,0,0,5,0
100822,0,0,2,0
100823,0,0,3,0
100824,0,1,14,0
100825,0,0,5,0
100826,0,0,5,0
100827,0,0,5,0
100828,0,0,6,0
100829,0,0,5,0
100830,0,0,6,0
100831,0,0,7,0
100832,0,1,5,0
100833,0,0,9,0
100834,0,0,12,0
100835,0,0,8,0
100836,0,1,6,0
100837,0,0,6,0
100838,0,0,8,0
100839,0,2,12,0
100840,0,2,12,0
100841,0,0,4,0
100842,0,1,9,0
100843,0,1,12,0
100844,0,0,11,0
100845,0,2,9,0
100846,0,3,30,0
100847,0,0,7,0
100848,0,1,6,0
100849,0,0,6,0
100850,0,0,7,0
100851,0,0,6,0
100852,0,0,7,0
100853,0,0,7,0
100854,0,0,6,0
100855,0,1,7,0
100856,0,0,13,0
100857,0,2,10,0
100858,0,0,5,0
100859,0,0,7,0
100860,0,4,7,0
100861,0,1,7,0
100862,0,0,6,0
100863,0,0,10,0
100864,0,0,5,0
100865,0,0,3,0
100866,0,0,4,0
100867,0,1,6,0
100868,0,0,5,0
100869,0,0,5,0
100870,0,0,5,0
100871,0,0,5,0
100872,0,0,7,0
100873,0,1,7,0
100874,0,0,6,0
100875,0,8,24,2
100876,0,0,8,0
100877,0,1,9,0
100878,0,0,17,0
100879,0,0,6,0
100880,0,0,7,0
100881,0,1,6,0
100882,0,2,12,0
100883,0,0,6,0
100885,0,2,16,0
100886,0,0,7,0
100887,0,0,8,0
100888,0,1,5,0
100889,0,0,8,0
100890,0,2,12,0
100891,0,1,7,0
100892,0,1,9,0
100893,0,4,26,0
100894,0,1,13,0
100895,0,1,13,0
100896,0,1,8,0
100897,0,0,7,0
100898,0,1,6,0
100899,0,1,9,0
100900,0,0,9,0
100901,0,1,13,0
100902,0,0,3,0
100903,0,1,6,0
100904,0,1,6,0
100905,0,1,6,0
100906,0,1,6,0
100907,0,2,5,0
100908,0,1,12,0
100909,0,1,5,0
100910,0,0,1,0
100911,0,6,33,0
100912,0,1,12,0
100913,0,0,4,0
100914,0,2,26,0
100915,0,1,10,0
100916,0,1,5,0
100917,0,1,6,0
100918,0,1,5,0
100919,0,1,5,0
100920,0,1,5,0
100921,0,2,14,0
100922,0,0,6,0
100923,0,0,4,0
100924,0,2,10,0
100925,0,1,5,0
100926,0,0,7,0
100927,0,1,13,0
100929,0,1,4,0
100930,0,1,13,0
100931,0,1,5,0
100932,0,0,3,0
100933,0,1,8,0
100934,0,2,8,0
100935,0,0,6,0
100936,0,0,5,0
100937,0,1,2,0
100938,0,0,6,0
100939,0,0,6,0
100940,0,6,24,1
100941,0,0,7,0
100942,0,0,6,0
100943,0,0,4,0
100944,0,0,6,0
100945,0,0,7,0
100946,0,0,6,0
100947,0,2,10,0
100948,0,0,10,0
100949,0,2,6,0
100950,0,1,10,0
100951,0,1,11,0
100952,0,3,28,0
100953,0,1,8,0
100954,0,1,13,0
100955,0,1,9,0
100956,0,1,7,0
100957,0,0,4,0
100958,0,2,9,0
100959,0,1,5,0
100960,0,0,6,0
100961,0,2,16,0
100962,0,1,5,0
100963,0,0,6,0
100964,0,3,20,0
100965,0,0,7,0
100966,0,0,6,0
100967,0,0,3,0
100968,0,1,5,0
100969,0,0,6,0
100970,0,0,6,0
100971,0,0,9,0
100972,0,0,3,0
100973,0,0,3,0
100974,0,0,6,0
100975,0,1,5,0
100976,0,1,5,0
100977,0,0,7,0
100978,0,0,2,0
100979,0,0,2,0
100980,0,2,8,0
100981,0,0,3,0
100982,0,0,7,0
100983,0,0,8,0
100984,0,0,7,0
100985,0,0,6,0
100986,0,0,8,0
100987,0,1,13,0
100988,0,1,6,0
100989,0,1,4,0
100990,0,0,7,0
100991,0,7,24,0
100992,0,0,4,0
100993,0,0,4,0
100994,0,3,4,0
100995,0,1,2,0
100996,0,1,5,0
100997,0,1,4,0
100998,0,0,5,0
100999,0,0,9,0
101000,0,0,7,0
101001,0,3,19,0
101002,0,0,9,0
101003,0,0,9,0
101004,0,1,5,0
101005,0,0,13,0
101006,0,0,8,0
101007,0,1,4,0
101008,0,0,6,0
101009,0,0,3,0
101010,0,0,13,0
101011,0,1,12,0
101012,0,0,7,0
101013,0,0,11,0
101014,0,0,7,0
101015,0,0,7,0
101016,0,10,37,1
101017,0,0,6,0
101018,0,0,10,0
101019,0,4,11,0
101020,0,0,4,0
101021,0,1,6,0
101022,0,1,4,0
101023,0,1,6,0
101024,0,0,7,0
101025,0,1,6,0
101026,0,2,24,0
101027,0,3,35,0
101028,0,1,11,0
101029,0,0,2,0
101030,0,5,29,10
101031,0,0,5,0
101032,0,0,4,0
101033,0,0,3,0
101034,0,1,13,0
101035,0,1,20,0
101036,0,3,30,0
101037,0,1,4,0
101038,0,1,15,0
101039,0,7,52,0
101040,0,0,4,0
101041,0,3,19,0
101042,0,0,5,0
101043,0,1,9,0
101044,0,2,21,0
101045,0,0,6,0
101046,0,0,4,0
101047,0,0,4,0
101048,0,1,3,0
101049,0,0,3,0
101050,0,1,8,0
101051,0,1,7,0
101052,0,0,4,0
101053,0,0,5,0
101054,0,0,3,0
101055,0,0,3,0
101056,0,0,4,0
101057,0,3,24,0
101058,0,1,5,0
101059,0,1,6,0
101060,0,0,4,0
101061,0,0,5,0
101062,0,0,5,0
101063,0,0,3,0
101064,0,0,7,0
101065,0,0,6,0
101066,0,0,3,0
101067,0,2,5,0
101068,0,1,11,0
101069,0,0,7,0
101070,0,1,6,0
101071,0,4,13,0
101072,0,1,9,0
101073,0,1,11,0
101074,0,1,10,0
101075,0,1,6,0
101076,0,1,6,0
101077,0,0,5,0
101078,0,2,13,0
101079,0,0,3,0
101080,0,0,8,0
101081,0,1,6,0
101082,0,1,6,0
101083,0,0,2,0
101084,0,0,1,0
101085,0,1,8,0
101086,0,0,3,0
101087,0,0,2,0
101088,0,0,2,0
101089,0,0,3,0
101090,0,1,11,0
101091,0,0,6,0
101092,0,0,6,0
101093,0,1,6,0
101094,0,10,15,0
101095,0,2,13,0
101096,0,2,26,0
101097,0,0,6,0
101098,0,0,6,0
101099,0,0,3,0
101100,0,0,13,0
101101,0,0,6,0
101102,0,0,7,0
101103,0,0,9,0
101104,0,0,2,0
101105,0,0,3,0
101106,0,1,5,0
101107,0,0,6,0
101108,0,0,2,0
101109,0,1,12,0
101110,0,0,3,0
101111,0,1,10,0
101112,0,1,4,0
101113,0,1,5,0
101114,0,2,12,0
101115,0,0,3,0
101116,0,0,7,0
101117,0,2,7,0
101118,0,0,6,0
101119,0,0,3,0
101120,0,1,4,0
101121,0,0,6,0
101122,0,0,3,0
101123,0,0,7,0
101124,0,0,12,0
101125,0,0,6,0
101126,0,2,11,0
101127,0,0,6,0
101128,0,0,6,0
101129,0,1,7,0
101130,0,6,17,0
101131,0,0,6,0
101132,0,6,18,1
101133,0,0,3,0
101134,0,1,12,0
101135,0,0,6,0
101136,0,0,7,0
101137,0,0,3,0
101138,0,1,8,0
101139,0,4,11,0
101140,0,0,8,0
101141,0,0,3,0
101142,0,1,6,0
101143,0,0,7,0
101144,0,0,3,0
101145,0,0,6,0
101146,0,0,5,0
101147,0,0,5,0
101148,0,0,7,0
101149,0,4,29,1
101150,0,1,12,0
101151,0,1,11,0
101152,0,1,12,0
101153,0,1,12,0
101154,0,0,7,0
101155,0,2,18,0
101156,0,1,10,0
101157,0,0,6,0
101158,0,1,9,0
101159,0,1,8,0
101160,0,0,5,0
101161,0,1,12,0
101162,0,1,6,0
101163,0,1,6,0
101164,0,1,6,0
101165,0,1,11,0
101166,0,12,39,1
101167,0,3,11,0
101168,0,0,8,0
101169,0,0,6,0
101170,0,1,6,0
101171,0,0,5,0
101172,0,0,6,0
101173,0,0,6,0
101174,0,0,5,0
101175,0,0,7,0
101176,0,0,6,0
101177,0,0,6,0
101178,0,0,5,0
101179,0,2,9,0
101180,0,0,2,0
101181,0,2,18,1
101182,0,0,4,0
101183,0,0,8,0
101184,0,0,6,1
101185,0,0,5,0
101186,0,1,12,0
101187,0,0,3,0
101188,0,1,10,0
101189,0,1,7,0
101190,0,2,9,0
101191,0,2,13,0
101192,0,0,4,0
101193,0,1,7,0
101194,0,0,6,0
101195,0,0,6,0
101196,0,1,14,0
101197,0,0,6,0
101198,0,0,7,0
101199,0,0,4,0
101200,0,2,17,0
101201,0,2,9,0
101202,0,5,11,0
101203,0,0,6,0
101204,0,1,7,0
101205,0,0,7,0
101206,0,1,6,0
101207,0,0,13,0
101208,0,1,2,0
101209,0,0,14,0
101210,0,1,6,0
101211,0,0,6,0
101212,0,0,6,0
101213,0,0,5,0
101214,0,1,7,0
101215,0,0,4,0
101216,0,0,6,0
101217,0,2,9,0
101218,0,3,9,0
101219,0,0,4,0
101220,0,0,5,0
101221,0,1,9,0
101222,0,1,7,0
101223,0,0,3,0
101224,0,0,3,0
101225,0,0,5,0
101226,0,0,5,0
101227,0,0,3,0
101228,0,2,19,2
101229,0,0,8,0
101230,0,1,8,0
101231,0,0,6,0
101232,0,0,2,0
101233,0,0,3,0
101234,0,0,9,0
101235,0,0,6,0
101236,0,1,5,0
101237,0,0,8,0
101238,0,0,6,0
101239,0,0,6,0
101240,0,0,4,0
101241,0,0,5,0
101242,0,1,8,0
101243,0,0,7,0
101244,0,0,9,0
101245,0,1,14,0
101246,0,2,11,0
101247,0,0,4,0
101248,0,0,6,0
101249,0,2,10,0
101250,0,0,3,0
101251,0,1,5,0
101252,0,1,10,0
101253,0,1,13,0
101254,0,4,45,0
101255,0,1,12,0
101256,0,3,24,0
101257,0,1,13,0
101258,0,2,11,0
101259,0,1,9,0
101260,0,1,13,0
101261,0,5,5,0
101262,0,1,10,0
101263,0,0,7,0
101264,0,1,10,0
101265,0,0,8,0
101266,0,2,11,0
101267,0,7,53,0
101268,0,0,11,0
101269,0,1,7,0
101270,0,1,9,0
101271,0,0,6,0
101272,0,0,17,0
101273,0,0,8,0
101274,0,0,7,0
